Authors,Author(s) ID,Title,Year,age,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Access Type,Source,EID
"Subramaniam, A., Yager, P.L., Carpenter, E.J., Mahaffey, C., Björkman, K., Cooley, S., Kustka, A.B., Montoya, J.P., Sañudo-Wilhelmy, S.A., Shipe, R., Capone, D.G.",7006752074;7005537246;7101893116;8105318200;7004022663;35387677700;6602927286;7101654856;7003950941;6603076071;7006117056;,Amazon River enhances diazotrophy and carbon sequestration in the tropical North Atlantic Ocean,2008,9,Proceedings of the National Academy of Sciences of the United States of America,105,30,,10460,10465,,157,10.1073/pnas.0710279105,https://www.scopus.com/inward/record.uri?eid=2-s2.0-48749098929&doi=10.1073%2fpnas.0710279105&partnerID=40&md5=c5716a2025b429cf25eafde5bdc57faf,Article,Open Access,Scopus,2-s2.0-48749098929
"Wu, Q., Zhang, T.",7404603029;55969830400;,Recent permafrost warming on the Qinghai-Tibetan Plateau,2008,9,Journal of Geophysical Research Atmospheres,113,13, D13108,,,,157,10.1029/2007JD009539,https://www.scopus.com/inward/record.uri?eid=2-s2.0-49949097721&doi=10.1029%2f2007JD009539&partnerID=40&md5=0afcfac654176cb39668c38ba2ef8b08,Article,Open Access,Scopus,2-s2.0-49949097721
"Holtmeier, F.-K., Broll, G.",6602997368;6602149014;,Treeline advance - driving processes and adverse factors,2007,10,Landscape Online,1,1,,1,33,,157,10.3097/LO.200701,https://www.scopus.com/inward/record.uri?eid=2-s2.0-40949154597&doi=10.3097%2fLO.200701&partnerID=40&md5=6e8b14229126dcb4b48c39e07eb433a5,Article,Open Access,Scopus,2-s2.0-40949154597
"Luo, J.-J., Sasaki, W., Masumoto, Y.",8870038800;55295249600;23477753300;,Indian Ocean warming modulates Pacific climate change,2012,5,Proceedings of the National Academy of Sciences of the United States of America,109,46,,18701,18706,,156,10.1073/pnas.1210239109,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84869216428&doi=10.1073%2fpnas.1210239109&partnerID=40&md5=1b776d7f9ec48ff96cc8f178177d1632,Article,Open Access,Scopus,2-s2.0-84869216428
"Wang, L., Li, C., Ying, Q., Cheng, X., Wang, X., Li, X., Hu, L., Liang, L., Yu, L., Huang, H., Gong, P.",47461692400;39863226400;35279029900;7401754355;55240576300;55240472300;55239970500;7202069710;55277716700;7405611725;7102704109;,China's urban expansion from 1990 to 2010 determined with satellite remote sensing,2012,5,Chinese Science Bulletin,57,22,,2802,2812,,156,10.1007/s11434-012-5235-7,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84865529487&doi=10.1007%2fs11434-012-5235-7&partnerID=40&md5=b98d94e4de6568f4f3a21642a8152a54,Article,Open Access,Scopus,2-s2.0-84865529487
"Chown, S.L., Huiskes, A.H.L., Gremmen, N.J.M., Lee, J.E., Terauds, A., Crosbie, K., Frenot, Y., Hughes, K.A., Imura, S., Kiefer, K., Lebouvier, M., Raymond, B., Tsujimoto, M., Ware, C., Van De Vijver, B., Bergstrom, D.M.",7006383635;56544381000;6701406182;23970613600;8395073800;36926209300;55216317500;7202448782;7004650118;25959133000;6603289592;35307743400;12778667800;35811457000;7003606728;7101617227;,Continent-wide risk assessment for the establishment of nonindigenous species in Antarctica,2012,5,Proceedings of the National Academy of Sciences of the United States of America,109,13,,4938,4943,,156,10.1073/pnas.1119787109,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84859470838&doi=10.1073%2fpnas.1119787109&partnerID=40&md5=116989a484ddec4ad4ede06386985098,Article,Open Access,Scopus,2-s2.0-84859470838
"Hudson, J.M.G., Henry, G.H.R.",35208717900;7202191313;,Increased plant biomass in a high arctic heath community from 1981 to 2008,2009,8,Ecology,90,10,,2657,2663,,156,10.1890/09-0102.1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-70349971389&doi=10.1890%2f09-0102.1&partnerID=40&md5=84b0c237a1cfbac21ee6a027d86a6fbf,Article,Open Access,Scopus,2-s2.0-70349971389
"Byrne, M., Ho, M., Selvakumaraswamy, P., Nguyen, H.D., Dworjanyn, S.A., Davis, A.R.",7202358517;26638787500;6603450195;26659201500;6506740389;7404296440;,"Temperature, but not pH, compromises sea urchin fertilization and early development under near-future climate change scenarios",2009,8,Proceedings of the Royal Society B: Biological Sciences,276,1663,,1883,1888,,156,10.1098/rspb.2008.1935,https://www.scopus.com/inward/record.uri?eid=2-s2.0-66149161908&doi=10.1098%2frspb.2008.1935&partnerID=40&md5=3ebae1565eb97baf54b24f35ca2589c8,Article,Open Access,Scopus,2-s2.0-66149161908
"LeGrande, A.N., Schmidt, G.A.",8954866200;35561911800;,Sources of Holocene variability of oxygen isotopes in paleoclimate archives,2009,8,Climate of the Past,5,3,,441,455,,156,10.5194/cp-5-441-2009,https://www.scopus.com/inward/record.uri?eid=2-s2.0-75649090565&doi=10.5194%2fcp-5-441-2009&partnerID=40&md5=fe7b2d464fb310f8ed22f0c485c382c7,Article,Open Access,Scopus,2-s2.0-75649090565
"Schuol, J., Abbaspour, K.C., Yang, H., Srinivasan, R., Zehnder, A.J.B.",14822499800;6603958885;23098560000;7401951879;7101850862;,Modeling blue and green water availability in Africa,2008,9,Water Resources Research,44,7, W07406,,,,156,10.1029/2007WR006609,https://www.scopus.com/inward/record.uri?eid=2-s2.0-53649110148&doi=10.1029%2f2007WR006609&partnerID=40&md5=82b57b11718384af173f9d4abc0c42f6,Article,Open Access,Scopus,2-s2.0-53649110148
"Huntley, B., Collingham, Y.C., Willis, S.G., Green, R.E.",7006755089;6602736714;7103267539;7403916297;,Potential impacts of climatic change on European breeding birds,2008,9,PLoS ONE,3,1, e1439,,,,156,10.1371/journal.pone.0001439,https://www.scopus.com/inward/record.uri?eid=2-s2.0-39049148904&doi=10.1371%2fjournal.pone.0001439&partnerID=40&md5=d4287512772be483a30d06a9f9e74c6c,Article,Open Access,Scopus,2-s2.0-39049148904
"Abatzoglou, J.T., Williams, A.P.",6507237454;23981552800;,Impact of anthropogenic climate change on wildfire across western US forests,2016,1,Proceedings of the National Academy of Sciences of the United States of America,113,42,,11770,11775,,155,10.1073/pnas.1607171113,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84991678509&doi=10.1073%2fpnas.1607171113&partnerID=40&md5=5481bfefe294140660358e23922edf32,Article,Open Access,Scopus,2-s2.0-84991678509
"Hertwich, E.G., Gibon, T., Bouman, E.A., Arvesen, A., Suh, S., Heath, G.A., Bergesen, J.D., Ramirez, A., Vega, M.I., Shi, L.",6701785583;56117208900;56462828700;37111876100;7201479719;14822233900;56331129600;57194845557;56645893200;56623702900;,Integrated life-cycle assessment of electricity-supply scenarios confirms global environmental benefit of low-carbon technologies,2015,2,Proceedings of the National Academy of Sciences of the United States of America,112,20,,6277,6282,,155,10.1073/pnas.1312753111,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84929404255&doi=10.1073%2fpnas.1312753111&partnerID=40&md5=80b44d14b98d6954a146cd43ffc321f2,Article,Open Access,Scopus,2-s2.0-84929404255
"Plevin, R.J., Delucchi, M.A., Creutzig, F.",12040501900;7003402290;23995215600;,Using Attributional Life Cycle Assessment to Estimate Climate-Change Mitigation Benefits Misleads Policy Makers,2014,3,Journal of Industrial Ecology,18,1,,73,83,,155,10.1111/jiec.12074,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84894262363&doi=10.1111%2fjiec.12074&partnerID=40&md5=7d5a5c6313b8c6e1c03de2b9f1b591b7,Article,Open Access,Scopus,2-s2.0-84894262363
"Deryng, D., Conway, D., Ramankutty, N., Price, J., Warren, R.",23476858900;56072144700;6701824742;7404021123;22996291800;,Global crop yield response to extreme heat stress under multiple climate change futures,2014,3,Environmental Research Letters,9,3,34011,,,,155,10.1088/1748-9326/9/3/034011,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84897489575&doi=10.1088%2f1748-9326%2f9%2f3%2f034011&partnerID=40&md5=8aa5ac644547c255a67e71b6826038e2,Article,Open Access,Scopus,2-s2.0-84897489575
"Pespeni, M.H., Sanford, E., Gaylord, B., Hill, T.M., Hosfelt, J.D., Jaris, H.K., LaVigne, M., Lenz, E.A., Russell, A.D., Young, M.K., Palumbi, S.R.",6506858314;7005995545;7003323650;7201432089;55669584700;55344593500;13608823300;54389516900;56413921900;55668437400;7004573915;,Evolutionary change during experimental ocean acidification,2013,4,Proceedings of the National Academy of Sciences of the United States of America,110,17,,6937,6942,,155,10.1073/pnas.1220673110,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84876835091&doi=10.1073%2fpnas.1220673110&partnerID=40&md5=428a6e8f29d1f8b341d5687086654d9a,Article,Open Access,Scopus,2-s2.0-84876835091
"Ciscar, J.-C., Iglesias, A., Feyen, L., Szabó, L., Van Regemorter, D., Amelung, B., Nicholls, R., Watkiss, P., Christensen, O.B., Dankers, R., Garrote, L., Goodess, C.M., Hunt, A., Moreno, A., Richards, J., Soria, A.",55666469500;7101951895;6603758886;56250137600;6505940868;55903334300;35502560300;6506671081;56425506300;6603227814;6602559450;6602498322;55421836300;57198491978;22938644000;7006188767;,Physical and economic consequences of climate change in Europe,2011,6,Proceedings of the National Academy of Sciences of the United States of America,108,7,,2678,2683,,155,10.1073/pnas.1011612108,https://www.scopus.com/inward/record.uri?eid=2-s2.0-79952599340&doi=10.1073%2fpnas.1011612108&partnerID=40&md5=dbda0a414b61c204d7272bd7b162a643,Article,Open Access,Scopus,2-s2.0-79952599340
"Gooding, R.A., Harley, C.D.G., Tang, E.",26648316300;7102684397;35726152000;,Elevated water temperature and carbon dioxide concentration increase the growth of a keystone echinoderm,2009,8,Proceedings of the National Academy of Sciences of the United States of America,106,23,,9316,9321,,155,10.1073/pnas.0811143106,https://www.scopus.com/inward/record.uri?eid=2-s2.0-67249143181&doi=10.1073%2fpnas.0811143106&partnerID=40&md5=73cfe3b9dd8b9da91e486113825de991,Article,Open Access,Scopus,2-s2.0-67249143181
"Santer, B.D., Thorne, P.W., Haimberger, L., Taylor, K.E., Wigley, T.M.L., Lanzante, J.R., Solomon, S., Free, M., Gleckler, P.J., Jones, P.D., Karl, T.R., Klein, S.A., Mears, C., Nychka, D., Schmidt, G.A., Sherwood, S.C., Wentz, F.J.",7004222705;9272538400;6603267637;7403523649;7005591860;6603678857;54780544900;7004617224;6507460574;55768583400;8225183400;55422120900;7003528814;6604045869;35561911800;56014511300;7005035462;,Consistency of modelled and observed temperature trends in the tropical troposphere,2008,9,International Journal of Climatology,28,13,,1703,1722,,155,10.1002/joc.1756,https://www.scopus.com/inward/record.uri?eid=2-s2.0-56749142391&doi=10.1002%2fjoc.1756&partnerID=40&md5=44300c7a4ef809a9c980ededeed7b9f7,Article,Open Access,Scopus,2-s2.0-56749142391
"Lawrence, D.M., Slater, A.G., Tomas, R.A., Holland, M.M., Deser, C.",7402207328;7102987843;7003674085;57202754759;7003843648;,Accelerated Arctic land warming and permafrost degradation during rapid sea ice loss,2008,9,Geophysical Research Letters,35,11, L11506,,,,155,10.1029/2008GL033985,https://www.scopus.com/inward/record.uri?eid=2-s2.0-47749120453&doi=10.1029%2f2008GL033985&partnerID=40&md5=0e5b4cd786e9d28d95e336f070f230c7,Article,Open Access,Scopus,2-s2.0-47749120453
"Zimov, S.A., Davydov, S.P., Zimova, G.M., Davydova, A.I., Schuur, E.A.G., Dutta, K., Chapin, F.S.",6603315336;8986239700;8986239800;8986239900;7004006544;57193618091;6505892312;,Permafrost carbon: Stock and decomposability of a globally significant carbon pool,2006,11,Geophysical Research Letters,33,20, L20502,,,,155,10.1029/2006GL027484,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33845620310&doi=10.1029%2f2006GL027484&partnerID=40&md5=8e3db691536d6da5206dba3888d96774,Article,Open Access,Scopus,2-s2.0-33845620310
"Winton, M.",7003802133;,Amplified Arctic climate change: What does surface albedo feedback have to do with it?,2006,11,Geophysical Research Letters,33,3, L03701,,,,155,10.1029/2005GL025244,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33645880476&doi=10.1029%2f2005GL025244&partnerID=40&md5=36061bd57bc3697801e1895e77092741,Article,Open Access,Scopus,2-s2.0-33645880476
"Deser, C., Phillips, A.S., Alexander, M.A., Smoliak, B.V.",7003843648;7401658754;7402333910;35422976300;,Projecting North American climate over the next 50 years: Uncertainty due to internal variability,2014,3,Journal of Climate,27,6,,2271,2296,,154,10.1175/JCLI-D-13-00451.1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84894636591&doi=10.1175%2fJCLI-D-13-00451.1&partnerID=40&md5=a6394426a3f694d42337720dabe8c953,Article,Open Access,Scopus,2-s2.0-84894636591
"Shrestha, U.B., Gautam, S., Bawa, K.S.",26432370000;55356853900;7006499197;,Widespread climate change in the Himalayas and associated changes in local ecosystems.,2012,5,PloS one,7,5,,,,,154,10.1371/journal.pone.0036741,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84866152529&doi=10.1371%2fjournal.pone.0036741&partnerID=40&md5=9f15b6be1db51ebf171556dd61519e9d,Article,Open Access,Scopus,2-s2.0-84866152529
"Perlwitz, J., Pawson, S., Fogt, R.L., Nielsen, J.E., Neff, W.D.",6701348935;57062286700;6508003871;57203488770;7102253788;,Impact of stratospheric ozone hole recovery on Antarctic climate,2008,9,Geophysical Research Letters,35,8, L08714,,,,154,10.1029/2008GL033317,https://www.scopus.com/inward/record.uri?eid=2-s2.0-48249124645&doi=10.1029%2f2008GL033317&partnerID=40&md5=e78bd8170f62590ebc881919697cf538,Article,Open Access,Scopus,2-s2.0-48249124645
"van Vuuren, D.P., Kriegler, E., O'Neill, B.C., Ebi, K.L., Riahi, K., Carter, T.R., Edmonds, J., Hallegatte, S., Kram, T., Mathur, R., Winkler, H.",7003501910;55881072300;35234249500;35428937200;6602435618;7201801619;7102594598;23392612400;6701727436;8942004500;7201676551;,A new scenario framework for Climate Change Research: Scenario matrix architecture,2014,3,Climatic Change,122,3,,373,386,,153,10.1007/s10584-013-0906-1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84899863199&doi=10.1007%2fs10584-013-0906-1&partnerID=40&md5=548dcea68fff494661b130db55a537d0,Article,Open Access,Scopus,2-s2.0-84899863199
"Nolte, C., Agrawal, A., Silvius, K.M., Britaldo S. Soares-Filho",55001583800;35241715800;6602438884;55908051300;,Governance regime and location influence avoided deforestation success of protected areas in the Brazilian Amazon,2013,4,Proceedings of the National Academy of Sciences of the United States of America,110,13,,4956,4961,,153,10.1073/pnas.1214786110,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84875550090&doi=10.1073%2fpnas.1214786110&partnerID=40&md5=e05e8c3e0860d020a3789de29172c0ee,Article,Open Access,Scopus,2-s2.0-84875550090
"Beaumont, L.J., Pitman, A., Perkins, S., Zimmermann, N.E., Yoccoz, N.G., Thuiller, W.",6701767636;7005413744;57203073289;7005513010;7003791420;6602123683;,Impacts of climate change on the world's most exceptional ecoregions,2011,6,Proceedings of the National Academy of Sciences of the United States of America,108,6,,2306,2311,,153,10.1073/pnas.1007217108,https://www.scopus.com/inward/record.uri?eid=2-s2.0-79952305418&doi=10.1073%2fpnas.1007217108&partnerID=40&md5=8db2df7008bfdc702b4d9b4ca75d8f5d,Article,Open Access,Scopus,2-s2.0-79952305418
"Basu, N.B., Destouni, G., Jawitz, J.W., Thompson, S.E., Loukinova, N.V., Darracq, A., Zanardo, S., Yaeger, M., Sivapalan, M., Rinaldo, A., Rao, P.S.C.",8711549200;7004302008;7003881587;36145416000;36716662000;8625152100;55547104919;26028217700;56223343300;7103192491;7404661845;,Nutrient loads exported from managed catchments reveal emergent biogeochemical stationarity,2010,7,Geophysical Research Letters,37,23, L23404,,,,153,10.1029/2010GL045168,https://www.scopus.com/inward/record.uri?eid=2-s2.0-77954477700&doi=10.1029%2f2010GL045168&partnerID=40&md5=3a16ab9e7cfef70dfa8368ba52d5d3e8,Article,Open Access,Scopus,2-s2.0-77954477700
"Moon, T., Joughin, I.",56217017100;26643300800;,Changes in ice front position on Greenland's outlet glaciers from 1992 to 2007,2008,9,Journal of Geophysical Research: Earth Surface,113,2, F02022,,,,153,10.1029/2007JF000927,https://www.scopus.com/inward/record.uri?eid=2-s2.0-50849115510&doi=10.1029%2f2007JF000927&partnerID=40&md5=9c348d9312d9373958240dc43c5d7e57,Article,Open Access,Scopus,2-s2.0-50849115510
"Larsen, C.F., Motyka, R.J., Arendt, A.A., Echelmeyer, K.A., Geissler, P.E.",7202409708;6701724418;7005649268;7003589836;35379061900;,Glacier changes in southeast Alaska and northwest British Columbia and contribution to sea level rise,2007,10,Journal of Geophysical Research: Earth Surface,112,1, F01007,,,,153,10.1029/2006JF000586,https://www.scopus.com/inward/record.uri?eid=2-s2.0-34249724994&doi=10.1029%2f2006JF000586&partnerID=40&md5=1afe1916f0e275617b64861c04f22331,Article,Open Access,Scopus,2-s2.0-34249724994
"Reichstein, M., Papale, D., Valentini, R., Aubinet, M., Bernhofer, C., Knohl, A., Laurila, T., Lindroth, A., Moors, E., Pilegaard, K., Seufert, G.",8579501100;15081024700;35410947600;6602069539;6603757959;6602521000;55682775100;7006762240;19337676200;7004184351;7004654334;,Determinants of terrestrial ecosystem carbon balance inferred from European eddy covariance flux sites,2007,10,Geophysical Research Letters,34,1, L01402,,,,153,10.1029/2006GL027880,https://www.scopus.com/inward/record.uri?eid=2-s2.0-34249906881&doi=10.1029%2f2006GL027880&partnerID=40&md5=b0cecb3c076443a953c655d514ae90f9,Article,Open Access,Scopus,2-s2.0-34249906881
"Raffel, T.R., Rohr, J.R., Kiesecker, J.M., Hudson, P.J.",14424444700;7006135055;7003392079;7202250860;,Negative effects of changing temperature on amphibian immunity under field conditions,2006,11,Functional Ecology,20,5,,819,828,,153,10.1111/j.1365-2435.2006.01159.x,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33748436087&doi=10.1111%2fj.1365-2435.2006.01159.x&partnerID=40&md5=2caf325a856ebb1d4a54bcc300adf093,Article,Open Access,Scopus,2-s2.0-33748436087
"Williams, A.P., Seager, R., Abatzoglou, J.T., Cook, B.I., Smerdon, J.E., Cook, E.R.",23981552800;7003531755;6507237454;7201498373;6603239704;7202259586;,Contribution of anthropogenic warming to California drought during 2012-2014,2015,2,Geophysical Research Letters,42,16,,6819,6828,,152,10.1002/2015GL064924,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84941735691&doi=10.1002%2f2015GL064924&partnerID=40&md5=67d4de9e66e08e204bd54bee9c885e08,Article,Open Access,Scopus,2-s2.0-84941735691
"Cook, B.I., Wolkovich, E.M., Parmesan, C.",7201498373;8618866300;6602907229;,Divergent responses to spring and winter warming drive community level flowering trends,2012,5,Proceedings of the National Academy of Sciences of the United States of America,109,23,,9000,9005,,152,10.1073/pnas.1118364109,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84861895608&doi=10.1073%2fpnas.1118364109&partnerID=40&md5=a4bac3b1e16a517c99519badc69342cd,Article,Open Access,Scopus,2-s2.0-84861895608
"Lean, J.L., Rind, D.H.",7004935827;7006550762;,How will Earth's surface temperature change in future decades?,2009,8,Geophysical Research Letters,36,15, L15708,,,,152,10.1029/2009GL038932,https://www.scopus.com/inward/record.uri?eid=2-s2.0-70350007926&doi=10.1029%2f2009GL038932&partnerID=40&md5=240bb7a34f49f29d4e5516f26e3199d5,Article,Open Access,Scopus,2-s2.0-70350007926
"De Magny, G.C., Murtugudde, R., Sapiano, M.R.P., Nizam, A., Brown, C.W., Busalacchi, A.J., Yunus, M., Nair, G.B., Gil, A.I., Lanata, C.F., Calkins, J., Manna, B., Rajendran, K., Bhattacharya, M.K., Huq, A., Sack, R.B., Colwell, R.R.",56057624100;8884425800;14632366000;6602181347;55259057200;35514012200;7102140180;7201482255;26643218000;16208026200;35553958400;7004221617;55046410200;56612895500;7006606256;7102549720;7203000370;,Environmental signatures associated with cholera epidemics,2008,9,Proceedings of the National Academy of Sciences of the United States of America,105,46,,17676,17681,,152,10.1073/pnas.0809654105,https://www.scopus.com/inward/record.uri?eid=2-s2.0-56649103838&doi=10.1073%2fpnas.0809654105&partnerID=40&md5=7918f9b01e918a3abf8f1263dbe07d6a,Article,Open Access,Scopus,2-s2.0-56649103838
"Hansen, J., Sato, M., Ruedy, R., Kharecha, P., Lacis, A., Miller, R., Nazarenko, L., Lo, K., Schmidt, G.A., Russell, G., Aleinov, I., Bauer, S., Baum, E., Cairns, B., Canuto, V., Chandler, M., Cheng, Y., Cohen, A., Del Genio, A., Faluvegi, G., Fleming, E., Friend, A., Hall, T., Jackman, C., Jonas, J., Kelley, M., Kiang, N.Y., Koch, D., Labow, G., Lerner, J., Menon, S., Novakov, T., Oinas, V., Perlwitz, Ja., Perlwitz, Ju., Rind, D., Romanou, A., Schmunk, R., Shindell, D., Stone, P., Sun, S., Streets, D., Tausnev, N., Threshe, D., Unger, N., Yao, M., Zhang, S.",7404334532;7405727977;6604021707;16304578900;7006399110;36705143500;56203249800;12241892400;35561911800;7401548835;9242539000;22978151200;57197006412;57126848900;7004409909;7102886537;55339475000;56277667200;57193132723;12240390300;7005474099;57203048291;7402484050;34770976500;16304488000;9242540400;57191693467;7201690877;6602859414;57191692422;7201837768;7006167299;6506806004;6701348935;57201819796;7006550762;12763470600;16305478500;7004214645;36042815900;56528677800;7006461606;55408944000;16305624000;14829673100;7403318365;56099064600;,Dangerous human-made interference with climate: A GISS modelE study,2007,10,Atmospheric Chemistry and Physics,7,9,,2287,2312,,152,10.5194/acp-7-2287-2007,https://www.scopus.com/inward/record.uri?eid=2-s2.0-34248225807&doi=10.5194%2facp-7-2287-2007&partnerID=40&md5=5f4c610b6a9837fb0060efa2d2351463,Article,Open Access,Scopus,2-s2.0-34248225807
"Collins, W.D., Ramaswamy, V., Schwarzkopf, M.D., Sun, Y., Portmann, R.W., Fu, Q., Casanova, S.E.B., Dufresne, J.-L., Fillmore, D.W., Forster, P.M.D., Galin, V.Y., Gohar, L.K., Ingram, W.J., Kratz, D.P., Lefebvre, M.-P., Li, J., Marquet, P., Oinas, V., Tsushima, Y., Uchiyama, T., Zhong, W.Y.",56520921400;7101975218;35514163500;55737749900;7003786872;55087038900;14051478900;7004714030;8661887700;35547807400;6603752490;6506421883;7004169476;6603685334;54883121500;7410070663;7102630621;6506806004;7007021059;15761630100;7402327755;,Radiative forcing by well-mixed greenhouse gases: Estimates from climate models in the Intergovernmental Panel on Climate Change (IPCC) Fourth Assessment Report (AR4),2006,11,Journal of Geophysical Research Atmospheres,111,14, D14317,,,,152,10.1029/2005JD006713,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33846105446&doi=10.1029%2f2005JD006713&partnerID=40&md5=6c5967bbf147bde762385358ffefccbc,Article,Open Access,Scopus,2-s2.0-33846105446
"Camus-Kulandaivelu, L., Veyrieras, J.-B., Madur, D., Combes, V., Fourmann, M., Barraud, S., Dubreuil, P., Gouesnard, B., Manicacci, D., Charcosset, A.",13104750600;6504552416;6506267517;54882888000;6506409296;13105338200;8155889900;56628038000;6603612628;6603672082;,Maize adaptation to temperate climate: Relationship between population structure and polymorphism in the Dwarf8 gene,2006,11,Genetics,172,4,,2449,2463,,152,10.1534/genetics.105.048603,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33646195699&doi=10.1534%2fgenetics.105.048603&partnerID=40&md5=66d9845e1af42699aa4951fca2a046c7,Article,Open Access,Scopus,2-s2.0-33646195699
"Stevenson, D.S., Young, P.J., Naik, V., Lamarque, J.-F., Shindell, D.T., Voulgarakis, A., Skeie, R.B., Dalsoren, S.B., Myhre, G., Berntsen, T.K., Folberth, G.A., Rumbold, S.T., Collins, W.J., MacKenzie, I.A., Doherty, R.M., Zeng, G., Van Noije, T.P.C., Strunk, A., Bergmann, D., Cameron-Smith, P., Plummer, D.A., Strode, S.A., Horowitz, L., Lee, Y.H., Szopa, S., Sudo, K., Nagashima, T., Josse, B., Cionni, I., Righi, M., Eyring, V., Conley, A., Bowman, K.W., Wild, O., Archibald, A.",7402383878;25927718600;56244473600;7102976560;7004214645;22986631300;11940188700;8354057400;7003777747;6603749963;9941600400;23968109800;7402105994;7202956190;24765842200;7202802701;55885662200;16643812900;7004352797;9434771700;7005723936;16403452000;7103206141;55588510300;15726660300;55183670500;24470422300;14007691200;35338710200;37089417300;13402933200;15724543600;7103098751;56253335000;23476421000;,"Tropospheric ozone changes, radiative forcing and attribution to emissions in the Atmospheric Chemistry and Climate Model Intercomparison Project (ACCMIP)",2013,4,Atmospheric Chemistry and Physics,13,6,,3063,3085,,151,10.5194/acp-13-3063-2013,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84875718937&doi=10.5194%2facp-13-3063-2013&partnerID=40&md5=dff54eb2fa2f863fc8bbf65c1c41646e,Article,Open Access,Scopus,2-s2.0-84875718937
"Otto, F.E.L., Massey, N., Van Oldenborgh, G.J., Jones, R.G., Allen, M.R.",55278121100;14421382400;6701843355;55722586400;7404105326;,Reconciling two approaches to attribution of the 2010 Russian heat wave,2012,5,Geophysical Research Letters,39,4, L04702,,,,151,10.1029/2011GL050422,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84863229771&doi=10.1029%2f2011GL050422&partnerID=40&md5=ff83d9bf27bb7f2d2edc2c19e4518ba3,Article,Open Access,Scopus,2-s2.0-84863229771
"Hampton, S.E., Izmest'eva, L.R., Moore, M.V., Katz, S.L., Dennis, B., Silow, E.A.",7005792005;6505950097;7404471576;55345670200;35364042800;6506421160;,"Sixty years of environmental change in the world's largest freshwater lake - Lake Baikal, Siberia",2008,9,Global Change Biology,14,8,,1947,1958,,151,10.1111/j.1365-2486.2008.01616.x,https://www.scopus.com/inward/record.uri?eid=2-s2.0-48949120661&doi=10.1111%2fj.1365-2486.2008.01616.x&partnerID=40&md5=5f9755f6d24062b6cf7d1efe44e50411,Article,Open Access,Scopus,2-s2.0-48949120661
"Munday, P.L., Warner, R.R., Monro, K., Pandolfi, J.M., Marshall, D.J.",7005838893;7201601704;6508068674;7004252321;7402186529;,Predicting evolutionary responses to climate change in the sea,2013,4,Ecology Letters,16,12,,1488,1500,,150,10.1111/ele.12185,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84886723172&doi=10.1111%2fele.12185&partnerID=40&md5=8f4e3599528e975521ba8a3da16f2f5f,Article,Open Access,Scopus,2-s2.0-84886723172
"Vellend, M., Baeten, L., Myers-Smith, I.H., Elmendorf, S.C., Beauséjour, R., Brown, C.D., De Frenne, P., Verheyen, K., Wipf, S.",6603063950;24376142100;6507057225;7801628026;37074161100;56413470000;26641127100;55158044500;8588642400;,Global meta-analysis reveals no net change in local-scale plant biodiversity over time,2013,4,Proceedings of the National Academy of Sciences of the United States of America,110,48,,19456,19459,,150,10.1073/pnas.1312779110,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84888341917&doi=10.1073%2fpnas.1312779110&partnerID=40&md5=c607daab331ea03d782cd331ab861580,Article,Open Access,Scopus,2-s2.0-84888341917
"Flynn, K.J., Stoecker, D.K., Mitra, A., Raven, J.A., Glibert, P.M., Hansen, P.J., Granéli, E., Burkholder, J.M.",7101972652;7003870229;8921604700;7103305526;7004274516;55665602800;7003364989;7006599570;,Misuse of the phytoplankton-zooplankton dichotomy: The need to assign organisms as mixotrophs within plankton functional types,2013,4,Journal of Plankton Research,35,1,,3,11,,150,10.1093/plankt/fbs062,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84871965659&doi=10.1093%2fplankt%2ffbs062&partnerID=40&md5=55f485876c5cd4ab02772f5c18ff26b0,Article,Open Access,Scopus,2-s2.0-84871965659
