Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,citescore2017,DOI,Link,Document Type,Access Type,Source,EID
"Kasting, J.F., Howard, M.T., Wallmann, K., Veizer, J., Shields, G., Jaffrés, J.",7006432040;55433981100;7004219663;7006920633;14626549300;15070973800;,"Paleoclimates, ocean depth, and the oxygen isotopic composition of seawater",2006,Earth and Planetary Science Letters,252,1-2,,82,93,,123,,10.1016/j.epsl.2006.09.029,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33751253753&doi=10.1016%2fj.epsl.2006.09.029&partnerID=40&md5=3891a12db55c031155118513b833101a,Article,Open Access,Scopus,2-s2.0-33751253753
"Davies, Z.G., Wilson, R.J., Coles, S., Thomas, C.D.",57200309883;7501535919;12788203900;7404413845;,"Changing habitat associations of a thermally constrained species, the silver-spotted skipper butterfly, in response to climate warming",2006,Journal of Animal Ecology,75,1,,247,256,,122,,10.1111/j.1365-2656.2006.01044.x,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33645102628&doi=10.1111%2fj.1365-2656.2006.01044.x&partnerID=40&md5=b693b23cb135cf30a1eb2a92cf9d094e,Article,Open Access,Scopus,2-s2.0-33645102628
"Gerber, Y., Jacobsen, S.J., Killian, J.M., Weston, S.A., Roger, V.L.",6603203043;7202842093;7006909519;7005697500;7006477567;,"Seasonality and Daily Weather Conditions in Relation to Myocardial Infarction and Sudden Cardiac Death in Olmsted County, Minnesota, 1979 to 2002",2006,Journal of the American College of Cardiology,48,2,,287,292,,121,,10.1016/j.jacc.2006.02.065,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33745685401&doi=10.1016%2fj.jacc.2006.02.065&partnerID=40&md5=ccf4fbf22918cf10aa66b63472e22eea,Article,Open Access,Scopus,2-s2.0-33745685401
"Houston, J.",57197984173;,Variability of precipitation in the Atacama Desert: Its causes and hydrological impact,2006,International Journal of Climatology,26,15,,2181,2198,,118,,10.1002/joc.1359,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33845503055&doi=10.1002%2fjoc.1359&partnerID=40&md5=cdb78124f03189bcb9ca229618150388,Article,Open Access,Scopus,2-s2.0-33845503055
"Steiner, A.L., Tonse, S., Cohen, R.C., Goldstein, A.H., Harley, R.A.",9636267700;57083861000;57200319386;7403063262;7102990151;,Influence of future climate and emissions on regional air quality in California,2006,Journal of Geophysical Research Atmospheres,111,18, D18303,,,,117,,10.1029/2005JD006935,https://www.scopus.com/inward/record.uri?eid=2-s2.0-34250702470&doi=10.1029%2f2005JD006935&partnerID=40&md5=bd80e6a2bfd4e5b8c7ca820fc6989dcb,Article,Open Access,Scopus,2-s2.0-34250702470
"Sato, S., Kamiyama, M., Iwata, T., Makita, N., Furukawa, H., Ikeda, H.",55779980200;52363986500;13205063400;13205267400;7401781254;35953990000;,Moderate increase of mean daily temperature adversely affects fruit set of Lycopersicon esculentum by disrupting specific physiological processes in male reproductive development,2006,Annals of Botany,97,5,,731,738,,117,,10.1093/aob/mcl037,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33646237350&doi=10.1093%2faob%2fmcl037&partnerID=40&md5=ad377b4bb17e85e2d8d64c9c328130c6,Article,Open Access,Scopus,2-s2.0-33646237350
"Ziervogel, G., Bharwani, S., Downing, T.E.",6602252047;12805592000;7004604307;,"Adapting to climate variability: Pumpkins, people and policy",2006,Natural Resources Forum,30,4,,294,305,,116,,10.1111/j.1477-8947.2006.00121.x,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33845806918&doi=10.1111%2fj.1477-8947.2006.00121.x&partnerID=40&md5=7736743836948fce804e651ee90a6812,Article,Open Access,Scopus,2-s2.0-33845806918
"Sharma, S., Andrews, E., Barrie, L.A., Ogren, J.A., Lavoué, D.",21735581200;36000595000;7006084942;7006634316;6507890800;,Variations and sources of the equivalent black carbon in the high Arctic revealed by long-term observations at Alert and Barrow: 1989-2003,2006,Journal of Geophysical Research Atmospheres,111,14, D14208,,,,115,,10.1029/2005JD006581,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33846117136&doi=10.1029%2f2005JD006581&partnerID=40&md5=e24b678fa75ad0f84ef4ee90a34e3b8a,Article,Open Access,Scopus,2-s2.0-33846117136
"Liang, X.-Z., Pan, J., Zhu, J., Kunkel, K.E., Wang, J.X.L., Dai, A.",7401735398;56390513300;55618857100;7005691764;14038431700;7005231450;,Regional climate model downscaling of the U.S. summer climate and future change,2006,Journal of Geophysical Research Atmospheres,111,10, D10108,,,,114,,10.1029/2005JD006685,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33745887486&doi=10.1029%2f2005JD006685&partnerID=40&md5=21cc4cd9c1850f64b58f08ba6cc7ca14,Article,Open Access,Scopus,2-s2.0-33745887486
"Piao, S., Friedlingstein, P., Ciais, P., Zhou, L., Chen, A.",6701581547;6602135031;55399842300;55710583000;57203790142;,Effect of climate and CO<inf>2</inf> changes on the greening of the Northern Hemisphere over the past two decades,2006,Geophysical Research Letters,33,23, L23402,,,,112,,10.1029/2006GL028205,https://www.scopus.com/inward/record.uri?eid=2-s2.0-34548636472&doi=10.1029%2f2006GL028205&partnerID=40&md5=cd9f4e629ece5ddf43b1e357f86a20ed,Article,Open Access,Scopus,2-s2.0-34548636472
"Horowitz, L.W.",7103206141;,"Past, present and future concentrations of tropospheric ozone and aerosols: Methodology, ozone evaluation, and sensitivity to aerosol wet removal",2006,Journal of Geophysical Research Atmospheres,111,22, D22211,,,,112,,10.1029/2005JD006937,https://www.scopus.com/inward/record.uri?eid=2-s2.0-34247646493&doi=10.1029%2f2005JD006937&partnerID=40&md5=c89a3d1047dcfce045b1914c7da56423,Article,Open Access,Scopus,2-s2.0-34247646493
"Jin, F.-F., Kim, S.T., Bejarano, L.",7201785152;21739865400;21739373500;,A coupled-stability index for ENSO,2006,Geophysical Research Letters,33,23, L23708,,,,110,,10.1029/2006GL027221,https://www.scopus.com/inward/record.uri?eid=2-s2.0-34548636470&doi=10.1029%2f2006GL027221&partnerID=40&md5=acf2c8f23b722b9992a33ed9096edc44,Article,Open Access,Scopus,2-s2.0-34548636470
"Gan, J., Li, H., Curchitser, E.N., Haidvogel, D.B.",7102366816;57196367526;6507467563;7003739244;,Modeling South China Sea circulation: Response to seasonal forcing regimes,2006,Journal of Geophysical Research: Oceans,111,6, C06034,,,,108,,10.1029/2005JC003298,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33751106668&doi=10.1029%2f2005JC003298&partnerID=40&md5=41185ec91f48f9981e4512b761fa30f4,Article,Open Access,Scopus,2-s2.0-33751106668
"Fisher, R.A., Williams, M., Do Vale, R.L., Da Costa, A.L., Meir, P.",57201756465;35461262000;20436288000;16238289400;6602529747;,Evidence from Amazonian forests is consistent with isohydric control of leaf water potential,2006,"Plant, Cell and Environment",29,2,,151,165,,108,,10.1111/j.1365-3040.2005.01407.x,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33645063440&doi=10.1111%2fj.1365-3040.2005.01407.x&partnerID=40&md5=8da57b8225118b28877281ed61370024,Article,Open Access,Scopus,2-s2.0-33645063440
"Shindell, D.T., Faluvegi, G., Unger, N., Aguilar, E., Schmidt, G.A., Koch, D.M., Bauer, S.E., Miller, R.L.",7004214645;12240390300;14829673100;14828662600;35561911800;7201690734;22978151200;36705143500;,"Simulations of preindustrial, present-day, and 2100 conditions in the NASA GISS composition and climate model G-PUCCINI",2006,Atmospheric Chemistry and Physics,6,12,,4427,4459,,108,,10.5194/acp-6-4427-2006,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33749499928&doi=10.5194%2facp-6-4427-2006&partnerID=40&md5=8854983cb8e4e24757e45200b899eacc,Article,Open Access,Scopus,2-s2.0-33749499928
"Qaderi, M.M., Kurepin, L.V., Reid, D.M.",6602470648;12797588100;55163029900;,"Growth and physiological responses of canola (Brassica napus) to three components of global climate change: Temperature, carbon dioxide and drought",2006,Physiologia Plantarum,128,4,,710,721,,107,,10.1111/j.1399-3054.2006.00804.x,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33750941355&doi=10.1111%2fj.1399-3054.2006.00804.x&partnerID=40&md5=d89b5e11b662861892569f224d7b34cd,Article,Open Access,Scopus,2-s2.0-33750941355
"Feely, R.A., Takahashi, T., Wanninkhof, R., McPhaden, M.J., Cosca, C.E., Sutherland, S.C., Carr, M.-E.",7006203287;7406455112;56264081100;7005562402;6508108998;35400829800;35518562400;,Decadal variability of the air-sea CO<inf>2</inf> fluxes in the equatorial Pacific Ocean,2006,Journal of Geophysical Research: Oceans,111,8, C08S90,,,,107,,10.1029/2005JC003129,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33847336952&doi=10.1029%2f2005JC003129&partnerID=40&md5=50f8fbdb853f832498bb7df99d682f65,Article,Open Access,Scopus,2-s2.0-33847336952
"Squeo, F.A., Warner, B.G., Aravena, R., Espinoza, D.",6507048631;7101854392;7005210376;14055996600;,Bofedales: High altitude peatlands of the central Andes,2006,Revista Chilena de Historia Natural,79,2,,245,255,,107,,10.4067/S0716-078X2006000200010,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33746667847&doi=10.4067%2fS0716-078X2006000200010&partnerID=40&md5=3253162a766551c6e4ed7bba72ce6a60,Article,Open Access,Scopus,2-s2.0-33746667847
"Lobell, D.B., Bala, G., Duffy, P.B.",6603095001;10042470700;7102521545;,Biogeophysical impacts of cropland management changes on climate,2006,Geophysical Research Letters,33,6, L06708,,,,106,,10.1029/2005GL025492,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33646444619&doi=10.1029%2f2005GL025492&partnerID=40&md5=7405b93b91af461e2c16929a17fc9cd9,Article,Open Access,Scopus,2-s2.0-33646444619
"Jan, S., Sheu, D.D., Kuo, H.-M.",24831926300;35582311700;17135187000;,Water mass and throughflow transport variability in the Taiwan Strait,2006,Journal of Geophysical Research: Oceans,111,12, C12012,,,,105,,10.1029/2006JC003656,https://www.scopus.com/inward/record.uri?eid=2-s2.0-34447539927&doi=10.1029%2f2006JC003656&partnerID=40&md5=bb41aa02d659ca012f4971cd2821c1fd,Article,Open Access,Scopus,2-s2.0-34447539927
"Miller-Rushing, A.J., Primack, R.B., Primack, D., Mukunda, S.",6504597712;7004665056;12139947500;15071152700;,Photographs and herbarium specimens as tools to document phenological changes in response to global warming,2006,American Journal of Botany,93,11,,1667,1674,,105,,10.3732/ajb.93.11.1667,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33751211895&doi=10.3732%2fajb.93.11.1667&partnerID=40&md5=987fab7c9a216bd09be538b5f41a03f1,Article,Open Access,Scopus,2-s2.0-33751211895
"Chapin III, F.S., Lovecraft, A.L., Zavaleta, E.S., Nelson, J., Robards, M.D., Kofinas, G.P., Trainor, S.F., Peterson, G.D., Huntington, H.P., Naylor, R.L.",7007033191;15061606500;6603616397;55458259900;7003388634;6603718281;12752258100;7402563008;7004505238;7102988281;,Policy strategies to address sustainability of Alaskan boreal forests in response to a directionally changing climate,2006,Proceedings of the National Academy of Sciences of the United States of America,103,45,,16637,16643,,105,,10.1073/pnas.0606955103,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33750959070&doi=10.1073%2fpnas.0606955103&partnerID=40&md5=8848bcb45367381c1a87bfe3dc998f82,Article,Open Access,Scopus,2-s2.0-33750959070
"Auffhammer, M., Ramanathan, V., Vincent, J.R.",8613969400;13406672500;7403122238;,Integrated model shows that atmospheric brown clouds and greenhouse gases have reduced rice harvests in India,2006,Proceedings of the National Academy of Sciences of the United States of America,103,52,,19668,19672,,104,,10.1073/pnas.0609584104,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33845918063&doi=10.1073%2fpnas.0609584104&partnerID=40&md5=2af4e17c1a1134141dddcdb16cebe1f9,Article,Open Access,Scopus,2-s2.0-33845918063
"Shaver, G.R., Giblin, A.E., Nadelhoffer, K.J., Thieler, K.K., Downs, M.R., Laundre, J.A., Rastetter, E.B.",7005148432;7005552761;7004381336;8082253900;7007016877;7004517853;7003302886;,"Carbon turnover in Alaskan tundra soils: Effects of organic matter quality, temperature, moisture and fertilizer",2006,Journal of Ecology,94,4,,740,753,,103,,10.1111/j.1365-2745.2006.01139.x,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33745237226&doi=10.1111%2fj.1365-2745.2006.01139.x&partnerID=40&md5=b49cc6276d542c83298ede5b707920ea,Article,Open Access,Scopus,2-s2.0-33745237226
"Hunt, G., Roy, K.",8502893500;7202665916;,"Climate change, body size evolution, and Cope's Rule deep-sea ostracodes",2006,Proceedings of the National Academy of Sciences of the United States of America,103,5,,1347,1352,,103,,10.1073/pnas.0510550103,https://www.scopus.com/inward/record.uri?eid=2-s2.0-31944444987&doi=10.1073%2fpnas.0510550103&partnerID=40&md5=4855a5a6a179cf4cc1c530a7a8ee91fe,Article,Open Access,Scopus,2-s2.0-31944444987
"Rex, M., Salawitch, R.J., Deckelmann, H., von der Gathen, P., Harris, N.R.P., Chipperfield, M.P., Naujokat, B., Reimer, E., Allaart, M., Andersen, S.B., Bevilacqua, R., Braathen, G.O., Claude, H., Davies, J., De Backer, H., Dier, H., Dorokhov, V., Fast, H., Gerding, M., Godin-Beekmann, S., Hoppel, K., Johnson, B., Kyrö, E., Litynska, Z., Moore, D., Nakane, H., Parrondo, M.C., Risley Jr., A.D., Skrivankova, P., Stübi, R., Viatte, P., Yushkov, V., Zerefos, C.",56283402900;7006993412;6505767272;36829694300;7402548443;7004402705;57192975368;7003930724;8309515600;8447628500;35371325600;6701801931;6603760503;55697341500;6603695169;6603352099;7005900836;8842994000;7003824291;6602624109;7003421954;55272324200;7004005128;8309518900;57198586226;55902740300;15832736400;8434651900;6506098013;6603105196;8309520600;7003765782;7005829052;,Arctic winter 2005: Implications for stratospheric ozone loss and climate change,2006,Geophysical Research Letters,33,23, L23808,,,,102,,10.1029/2006GL026731,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33845610873&doi=10.1029%2f2006GL026731&partnerID=40&md5=41fd0e6562044f039c75bd3e3734366d,Article,Open Access,Scopus,2-s2.0-33845610873
"Brown, C., Lall, U.",15749833900;7007127326;,Water and economic development: The role of variability and a framework for resilience,2006,Natural Resources Forum,30,4,,306,317,,102,,10.1111/j.1477-8947.2006.00118.x,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33845732220&doi=10.1111%2fj.1477-8947.2006.00118.x&partnerID=40&md5=9588e930a04dd399dc3898cc4bd5ce74,Article,Open Access,Scopus,2-s2.0-33845732220
"Bates, T.S., Anderson, T.L., Baynard, T., Bond, T., Boucher, O., Carmichael, G., Clarke, A., Erlick, C., Guo, H., Horowitz, L., Howell, S., Kulkarni, S., Maring, H., McComiskey, A., Middlebrook, A., Noone, K., O'Dowd, C.D., Ogren, J., Penner, J., Quinn, P.K., Ravishankara, A.R., Savoie, D.L., Schwartz, S.E., Shinozuka, Y., Tang, Y., Weber, R.J., Wu, Y.",7201432984;57189585133;11440963500;7005809959;57203200427;7102294773;7403682442;6602244257;57202976506;7103206141;7402274069;26427744500;6701636053;14035836100;6603735912;7005088845;7006708207;7006634316;7102604282;7202429440;7101959920;7004898221;55207447000;7003359002;7404592426;7403384594;23493942300;,"Aerosol direct radiative effects over the northwest Atlantic, northwest Pacific, and North Indian Oceans: Estimates based on in-situ chemical and optical measurements and chemical transport modeling",2006,Atmospheric Chemistry and Physics,6,6,,1657,1732,,102,,10.5194/acp-6-1657-2006,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33746890915&doi=10.5194%2facp-6-1657-2006&partnerID=40&md5=5c3ea6726fda86dcd83d54d727145262,Article,Open Access,Scopus,2-s2.0-33746890915
"Wright, I.J., Reich, P.B., Atkin, O.K., Lusk, C.H., Tjoelker, M.G., Westoby, M.",7202889349;7101895179;7003700247;7003520808;7004482724;7004468655;,"Irradiance, temperature and rainfall influence leaf dark respiration in woody plants: Evidence from comparisons across 20 sites",2006,New Phytologist,169,2,,309,319,,99,,10.1111/j.1469-8137.2005.01590.x,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33644869157&doi=10.1111%2fj.1469-8137.2005.01590.x&partnerID=40&md5=d7cef97472bc5b3ceadb3755b3ac420f,Article,Open Access,Scopus,2-s2.0-33644869157
"Anyamba, A., Chretien, J.-P., Small, J., Tucker, C.J., Linthicum, K.J.",6602556935;35767522800;7202783776;7201903057;7006461221;,Developing global climate anomalies suggest potential disease risks for 2006 - 2007,2006,International Journal of Health Geographics,5,,60,,,,98,,10.1186/1476-072X-5-60,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33846684054&doi=10.1186%2f1476-072X-5-60&partnerID=40&md5=4cea00a01989f05e54b2522fe63398d3,Article,Open Access,Scopus,2-s2.0-33846684054
"Vogel, C., O'Brien, K.",7201445898;7202076978;,Who can eat information? Examining the effectiveness of seasonal climate forecasts and regional climate-risk management strategies,2006,Climate Research,33,1,,111,122,,97,,10.3354/cr033111,https://www.scopus.com/inward/record.uri?eid=2-s2.0-34250693577&doi=10.3354%2fcr033111&partnerID=40&md5=7f1f32d74f0a39e86d9f77aaaa1a3db6,Article,Open Access,Scopus,2-s2.0-34250693577
"Lorbacher, K., Dommenget, D., Niiler, P.P., Köhl, A.",15763140400;6602845217;7004339688;56788002200;,Ocean mixed layer depth: A subsurface proxy of ocean-atmosphere variability,2006,Journal of Geophysical Research: Oceans,111,7, C07010,,,,96,,10.1029/2003JC002157,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33750055837&doi=10.1029%2f2003JC002157&partnerID=40&md5=111b7aa486ddf7f19dd27d7410df0a9a,Article,Open Access,Scopus,2-s2.0-33750055837
"Schlyter, P., Stjernquist, I., Bärring, L., Jönsson, A.M., Nilsson, C.",6603581368;6603299606;6603581022;57195541020;7202946549;,"Assessment of the impacts of climate change and weather extremes on boreal forests in northern Europe, focusing on Norway spruce",2006,Climate Research,31,1,,75,84,,96,,10.3354/cr031075,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33746410948&doi=10.3354%2fcr031075&partnerID=40&md5=05505824ec5846f55047e19145491192,Article,Open Access,Scopus,2-s2.0-33746410948
"Zhang, Y., Xu, Y., Dong, W., Cao, L., Sparrow, M.",9639081800;8983193600;7202224419;53867811500;22636374400;,A future climate scenario of regional changes in extreme climate events over China using the PRECIS climate model,2006,Geophysical Research Letters,33,24, L24702,,,,95,,10.1029/2006GL027229,https://www.scopus.com/inward/record.uri?eid=2-s2.0-34548039955&doi=10.1029%2f2006GL027229&partnerID=40&md5=a1bfc6ca262652d70c79417ef82f8d2d,Article,Open Access,Scopus,2-s2.0-34548039955
"Strack, M., Waddington, J.M., Rochefort, L., Tuittila, E.-S.",8278514100;7102476841;7003608882;6602879848;,Response of vegetation and net ecosystem carbon dioxide exchange at different peatland microforms following water table drawdown,2006,Journal of Geophysical Research: Biogeosciences,111,2, G02006,,,,95,,10.1029/2005JG000145,https://www.scopus.com/inward/record.uri?eid=2-s2.0-34249687392&doi=10.1029%2f2005JG000145&partnerID=40&md5=b6a21c26ac1a68d61278a48914d2f686,Article,Open Access,Scopus,2-s2.0-34249687392
"Annan, J.D., Hargreaves, J.C.",7003420726;35580303100;,Using multiple observationally-based constraints to estimate climate sensitivity,2006,Geophysical Research Letters,33,6, L06704,,,,95,,10.1029/2005GL025259,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33646453382&doi=10.1029%2f2005GL025259&partnerID=40&md5=21084eea01e3cd4a1be919b5b6bf5292,Article,Open Access,Scopus,2-s2.0-33646453382
"Duan, A., Wu, G.",55754495900;7404976222;,Change of cloud amount and the climate warming on the Tibetan Plateau,2006,Geophysical Research Letters,33,22, L22704,,,,93,,10.1029/2006GL027946,https://www.scopus.com/inward/record.uri?eid=2-s2.0-34548599711&doi=10.1029%2f2006GL027946&partnerID=40&md5=419e73543ee51579946bd745749bf7d4,Article,Open Access,Scopus,2-s2.0-34548599711
"Leckebusch, G.C., Koffi, B., Ulbrich, U., Pinto, J.G., Spangehl, T., Zacharias, S.",6506030494;6506136441;6603555144;55806727200;16242347100;14051164100;,"Analysis of frequency and intensity of European winter storm events from a multi-model perspective, at synoptic and regional scales",2006,Climate Research,31,1,,59,74,,93,,10.3354/cr031059,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33746409517&doi=10.3354%2fcr031059&partnerID=40&md5=d392837a64a3a57b244231ed74e5d7b6,Article,Open Access,Scopus,2-s2.0-33746409517
"Zhang, Y., Kuang, X., Guo, W., Zhou, T.",14920052300;14050692300;7401967617;7402989545;,Seasonal evolution of the upper-tropospheric westerly jet core over East Asia,2006,Geophysical Research Letters,33,11, L11708,,,,92,,10.1029/2006GL026377,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33746468554&doi=10.1029%2f2006GL026377&partnerID=40&md5=ea90cd0b93fdb8f24db16f06c423160b,Article,Open Access,Scopus,2-s2.0-33746468554
"Mahowald, N.M., Yoshioka, M., Collins, W.D., Conley, A.J., Fillmore, D.W., Coleman, D.B.",6603711967;56377286600;56520921400;15724543600;8661887700;14013545600;,"Climate response and radiative forcing from mineral aerosols during the last glacial maximum, pre-industrial, current and doubled-carbon dioxide climates",2006,Geophysical Research Letters,33,20, L20705,,,,91,,10.1029/2006GL026126,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33845641700&doi=10.1029%2f2006GL026126&partnerID=40&md5=ae74c106b23e4dcfaef233953e969ec9,Article,Open Access,Scopus,2-s2.0-33845641700
"Inagaki, F., Kuypers, M.M.M., Tsunogai, U., Ishibashi, J.-I., Nakamura, K.-I., Treude, T., Ohkubo, S., Nakaseama, M., Gena, K., Chiba, H., Hirayama, H., Munoura, T., Takai, K., Jørgensen, B.B., Horikoshi, K., Boetius, A.",7103270976;6701737838;6603756856;8539672500;55628557674;6505869682;14631034200;14631020100;6506821468;8326280500;7201491037;49761873900;35235734600;7202434768;7102752021;6701454625;,Microbial community in a sediment-hosted CO<inf>2</inf> lake of the southern Okinawa Trough hydrothermal system,2006,Proceedings of the National Academy of Sciences of the United States of America,103,38,,14164,14169,,90,,10.1073/pnas.0606083103,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33748989249&doi=10.1073%2fpnas.0606083103&partnerID=40&md5=c2648edf23ef1f5a5d86c7f7f0f51b9f,Article,Open Access,Scopus,2-s2.0-33748989249
"Quaas, J., Boucher, O., Lohmann, U.",6602600408;57203200427;57203053317;,Constraining the total aerosol indirect effect in the LMDZ and ECHAM4 GCMs using MODIS satellite data,2006,Atmospheric Chemistry and Physics,6,4,,947,955,,90,,10.5194/acp-6-947-2006,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33646492457&doi=10.5194%2facp-6-947-2006&partnerID=40&md5=8fdd8401657631637dbdff36b587d92b,Article,Open Access,Scopus,2-s2.0-33646492457
"Reiner, D.M., Curry, T.E., De Figueiredo, M.A., Herzog, H.J., Ansolabehere, S.D., Itaoka, K., Johnsson, F., Odenberger, M.",7006691478;12807175100;6603715275;7201517717;6603409166;12807569100;7006817882;12808137000;,American exceptionalism? Similarities and differences in national attitudes toward energy policy and global warming,2006,Environmental Science and Technology,40,7,,2093,2098,,89,,10.1021/es052010b,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33645791687&doi=10.1021%2fes052010b&partnerID=40&md5=19aac1e94e501372499d62bb775281c5,Article,Open Access,Scopus,2-s2.0-33645791687
"Vavrus, S., Walsh, J.E., Chapman, W.L., Portis, D.",6602174893;7404416268;7203062127;6602447903;,The behavior of extreme cold air outbreaks under greenhouse warming,2006,International Journal of Climatology,26,9,,1133,1147,,88,,10.1002/joc.1301,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33745880696&doi=10.1002%2fjoc.1301&partnerID=40&md5=996ea96e30a316d290dc87d6b3f45040,Article,Open Access,Scopus,2-s2.0-33745880696
"Yesson, C., Culham, A.",8853289200;6603853400;,Phyloclimatic modeling: Combining phylogenetics and bioclimatic modeling,2006,Systematic Biology,55,5,,785,802,,87,,10.1080/1063515060081570,https://www.scopus.com/inward/record.uri?eid=2-s2.0-34249784717&doi=10.1080%2f1063515060081570&partnerID=40&md5=f7c9a866807ca0bd931d775cc1c1c17a,Article,Open Access,Scopus,2-s2.0-34249784717
"Stige, L.C., Stave, J., Chan, K.-S., Ciannelli, L., Pettorelli, N., Glantz, M., Herren, H.R., Stenseth, N.Chr.",35562196600;8589307400;7406031197;6602166195;8536629700;7007022404;6701441610;16040160500;,The effect of climate variation on agro-pastoral production in Africa,2006,Proceedings of the National Academy of Sciences of the United States of America,103,9,,3049,3053,,87,,10.1073/pnas.0600057103,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33644749240&doi=10.1073%2fpnas.0600057103&partnerID=40&md5=674b06b2c44fd4218da3bb36f1c37342,Article,Open Access,Scopus,2-s2.0-33644749240
"Worthy, T.H., Tennyson, A.J.D., Archer, M., Musser, A.M., Hand, S.J., Jones, C., Douglas, B.J., McNamara, J.A., Beck, R.M.D.",7006978638;6701895297;7102488403;7004004046;26643241000;8656422100;7102243769;55553732067;8930883200;,"Miocene mammal reveals a Mesozoic ghost lineage on insular New Zealand, southwest Pacific",2006,Proceedings of the National Academy of Sciences of the United States of America,103,51,,19419,19423,,86,,10.1073/pnas.0605684103,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33845914085&doi=10.1073%2fpnas.0605684103&partnerID=40&md5=05bdae6fa0d3c4b8a757c867efbccdf0,Article,Open Access,Scopus,2-s2.0-33845914085
"Pahnke, K., Sachs, J.P.",8310877900;7101926136;,Sea surface temperatures of southern midlatitudes 0-160 kyr B.P,2006,Paleoceanography,21,2, PA2003,,,,85,,10.1029/2005PA001191,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33751331665&doi=10.1029%2f2005PA001191&partnerID=40&md5=43b58a3fe8a6c181f0aac3dbbc901aa7,Article,Open Access,Scopus,2-s2.0-33751331665
"Rybski, D., Bunde, A., Havlin, S., von Storch, H.",6507441769;7005172993;35397372900;7004512139;,Long-term persistence in climate and the detection problem,2006,Geophysical Research Letters,33,6, L06718,,,,85,,10.1029/2005GL025591,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33646439582&doi=10.1029%2f2005GL025591&partnerID=40&md5=15ac9116e4ce81dcce51f02ead923810,Article,Open Access,Scopus,2-s2.0-33646439582
"Hodgkins, G.A., Dudley, R.W.",6506455567;7102777268;,"Changes in the timing of winter-spring streamflows in eastern North America, 1913-2002",2006,Geophysical Research Letters,33,6, L06402,,,,85,,10.1029/2005GL025593,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33646444321&doi=10.1029%2f2005GL025593&partnerID=40&md5=8ca3c40bdb2bee812c50810b8bbd949d,Article,Open Access,Scopus,2-s2.0-33646444321
"Weitemeyer, K.A., Constable, S.C., Key, K.W., Behrens, J.P.",12809493000;7005962403;6701456444;36665750400;,First results from a marine controlled-source electromagnetic survey to detect gas hydrates offshore Oregon,2006,Geophysical Research Letters,33,3, L03304,,,,85,,10.1029/2005GL024896,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33645834983&doi=10.1029%2f2005GL024896&partnerID=40&md5=5712294a518ac9ba1096b3d04be65be1,Article,Open Access,Scopus,2-s2.0-33645834983
"Boé, J., Terray, L., Habets, F., Martin, E.",24178522800;6701659989;26643531800;55250170900;,A simple statistical-dynamical downscaling scheme based on weather types and conditional resampling,2006,Journal of Geophysical Research Atmospheres,111,23, D23106,,,,84,,10.1029/2005JD006889,https://www.scopus.com/inward/record.uri?eid=2-s2.0-34547924439&doi=10.1029%2f2005JD006889&partnerID=40&md5=4e77c68cfd91a3eaecc31bd1adfaee8b,Article,Open Access,Scopus,2-s2.0-34547924439
