Article_title,Year,First_author,Journal,JIF,JIF_5yrs,JIF_year,Cite_counts,Pub,inst,Pub2,Cat,Subcat,SJR_year,SJR
"The strategic use of gain‐and loss‐framed messages to promote healthy behavior: How theory can inform practice
AJ Rothman, RD Bartels, J Wlaschin… - ",2006,No profiles,"Journal of communication, 2006",3.914,,2016,490,Wiley Blackwell / International Communication Association,commpub+,Wiley Blackwell,HLA,Comms,2017,4.41
"Using the limited capacity model of motivated mediated message processing to design effective cancer communication messages
A Lang - Journal of communication, 2006",2006,Annie Lang,"Journal of communication, 2006",3.914,,2016,383,Wiley Blackwell / International Communication Association,commpub+,Wiley Blackwell,HLA,Comms,2017,4.41
"Organizational blogs and the human voice: Relational strategies and relational outcomes
T Kelleher, BM Miller - ",2006,Tom Kelleher,"Journal of Computer‐Mediated Communication, 2006",4.113,,2016,459,Wiley Blackwell / International Communication Association,commpub+,Wiley Blackwell,HLA,Comms,2017,2.96
"Does it take a village? Policing strategies and fear of crime in Latin America
L Dammert, MFT Malone - Latin American Politics and Society, 2006",2006,Lucia Dammert," Latin American Politics and Society, 2006",1.17,,2016,103,Wiley Blackwell,commpub,Wiley Blackwell,HLA,LatAmSt,2017,0.98
"Knowledges of the creative economy: Towards a relational geography of diffusion and adaptation in Asia
L Kong, C Gibson, LM Khoo, AL Semple - ",2006,Chris Gibson,"Asia pacific viewpoint, 2006",1.212,,2016,145,Wiley Blackwell,commpub,Wiley Blackwell,HLA,AsSH,2017,0.84
"International production and distribution networks in East Asia: Eighteen facts, mechanics, and policy implications
F Kimura - ",2006,Fukunari Kimura,"Asian Economic Policy Review, 2006",0.75,,2016,223,Wiley Blackwell,commpub,Wiley Blackwell,HLA,AsSH,2017,0.15
"What's so special about China's exports?
D Rodrik - ",2006,Dani Rodrik,"China & World Economy, 2006",0.792,,2016,1403,Wiley Blackwell,commpub,Wiley Blackwell,HLA,ChSH,2017,1.48
"Rebalancing Growth in China: A Three‐Handed Approach
O Blanchard, F Giavazzi - China & World Economy, 2006",2006,No profiles,"China & World Economy, 2006",0.792,,2016,341,Wiley Blackwell,commpub,Wiley Blackwell,HLA,ChSH,2017,1.48
"Political communication in media society: Does democracy still enjoy an epistemic dimension? the impact of normative theory on empirical research1
J Habermas - ",2006,No profile,"Communication theory, 2006",2.733,,2016,1354,Wiley Blackwell,commpub,Wiley Blackwell,HLA,Comms,2017,2.42
"Undermining the rule of law: Democratization and the dark side of police reform in Mexico
DE Davis - Latin American Politics and Society, 2006",2006,Diane Davis,"Latin American Politics and Society, 2006",1.170,,2016,155,Wiley Blackwell,commpub,Wiley Blackwell,HLA,LatAmSt,2017,0.98
"Minority presidents and democratic performance in Latin America
GL Negretto - Latin American Politics and Society, 2006",2006,GABRIEL LEONARDO NEGRETTO,"Latin American Politics and Society, 2006",1.170,,2016,147,Wiley Blackwell,commpub,Wiley Blackwell,HLA,LatAmSt,2017,0.98
"The dynamics of criminal governance: networks and social order in Rio de Janeiro
ED Arias - Journal of Latin American Studies, 2006",2006,No profile,"Latin American Politics and Society, 2006",1.170,,2016,133,Wiley Blackwell,commpub,Wiley Blackwell,HLA,LatAmSt,2017,0.98
"The myth of personal security: Criminal gangs, dispute resolution, and identity in Rio de Janeiro's favelas
ED Arias, CD Rodrigues - Latin American politics and society, 2006",2006,No profiles,"Latin American politics and society, 2006",1.170,,2016,110,Wiley Blackwell,commpub,Wiley Blackwell,HLA,LatAmSt,2017,0.98
"Globalization, education and Emiratization: a case study of the United Arab Emirates
SM Godwin - The Electronic Journal of Information Systems in …, 2006",2006,No profile,"The Electronic Journal of Information Systems in …, 2006",0,,2016,102,Wiley Blackwell,commpub,Wiley Blackwell,HLA,MidEast_Islam,2017,0.27
"Turkey's Transformation under the AKP Rule
M Cinar - The Muslim World, 2006",2006,Menderes CINAR,"The Muslim World, 2006",0,,2016,82,Wiley Blackwell,commpub,Wiley Blackwell,HLA,MidEast_Islam,2017,0.11
"Emerging South‐East Asian Englishes and intelligibility
D Deterding, A Kirkpatrick - World Englishes, 2006",2006,David Deterding,"World Englishes, 2006",0.76,,2016,183,Wiley Blackwell,commpub,Wiley Blackwell,HLA,EngLit,2017,0.53
The material presence of the past,2006,E Domanska,History and theory,0.810,,2016,104,Wiley Blackwell,commpub,Wiley Blackwell,HLA,History,2017,0
Imperial Circuits and Networks: Geographies of the British Empire1,2006,A Lester,History Compass,0,,2016,136,Wiley Blackwell,commpub,Wiley Blackwell,HLA,History,2017,0
"The speculum of ignorance: The women's health movement and epistemologies of ignorance
N Tuana - ",2006,Nancy Tuana,"Hypatia, 2006",1.038,,2016,151,Wiley Blackwell,commpub,Wiley Blackwell,HLA,FemWomen,2017,0.53
"The sociocultural turn and its challenges for second language teacher education
KE Johnson - Tesol Quarterly, 2006",2006,No profile,"Tesol Quarterly, 2006",2.056,,2016,682,Wiley-Blackwell on behalf of TESOL International Association,commpub+,Wiley Blackwell,HLA,Forlang,2017,1.69
"Cognitive and sociocultural perspectives: Two parallel SLA worlds?
J Zuengler, ER Miller - Tesol Quarterly, 2006",2006,Elizabeth R. Miller,"Tesol Quarterly, 2006",2.056,,2016,445,Wiley-Blackwell on behalf of TESOL International Association,commpub+,Wiley Blackwell,HLA,Forlang,2017,1.69
